gn,gp,date,place,team,gf,ga,outcome,ot,totW,totL,totOT,streak,bSh,bPM,bPPG,bSHG,oSH,oPM,oPPG,oSHG,notes
63,63,3/9/06,Home,Montreal Canadiens,0,3,L,,25,28,10,L 3,28,37,0,0,41,21,2,0,
64,64,3/11/06,Home,New York Islanders,1,3,L,,25,29,10,L 4,33,17,1,0,45,13,0,0,
65,65,3/12/06,Away,Buffalo Sabres,2,6,L,,25,30,10,L 5,39,15,0,1,30,11,3,0,
66,66,3/14/06,Away,Toronto Maple Leafs,4,5,L,SO,25,30,11,L 6,32,40,2,0,33,22,2,0,
67,67,3/16/06,Home,Ottawa Senators,3,2,W,SO,26,30,11,W 1,30,10,0,0,33,16,0,0,
68,68,3/18/06,Home,Carolina Hurricanes,4,2,W,,27,30,11,W 2,33,18,2,0,40,12,0,0,
69,69,3/20/06,Away,New York Rangers,2,5,L,,27,31,11,L 1,21,11,0,0,29,13,1,1,
70,70,3/21/06,Home,Atlanta Thrashers,4,5,L,SO,27,31,12,L 2,31,16,2,0,40,10,1,1,
71,71,3/24/06,Away,New Jersey Devils,2,4,L,,27,32,12,L 3,27,6,0,0,24,8,2,0,
72,72,3/25/06,Home,Buffalo Sabres,5,4,W,,28,32,12,W 1,39,14,0,0,40,12,0,0,
73,73,3/27/06,Home,Florida Panthers,3,4,L,SO,28,32,13,L 1,37,10,1,0,48,12,2,0,
74,74,3/29/06,Away,Buffalo Sabres,3,4,L,,28,33,13,L 2,27,14,0,0,32,10,2,0,
75,75,4/1/06,Away,Montreal Canadiens,0,2,L,,28,34,13,L 3,32,17,0,0,35,15,0,0,
76,76,4/4/06,Away,Montreal Canadiens,3,5,L,,28,35,13,L 4,29,25,2,0,47,23,3,0,
77,77,4/6/06,Home,Toronto Maple Leafs,3,2,W,SO,29,35,13,W 1,27,6,0,0,33,8,0,0,
78,78,4/8/06,Home,New York Rangers,3,4,L,OT,29,35,14,L 1,26,13,1,0,25,17,1,0,
79,79,4/10/06,Home,Washington Capitals,1,2,L,OT,29,35,15,L 2,38,8,0,0,27,8,0,0,
80,80,4/11/06,Away,Ottawa Senators,3,4,L,OT,29,35,16,L 3,21,18,0,1,44,8,1,0,
81,81,4/13/06,Home,Montreal Canadiens,3,4,L,,29,36,16,L 4,28,11,0,0,26,13,1,0,
82,82,4/15/06,Away,Atlanta Thrashers,3,4,L,,29,37,16,L 5,26,8,0,1,35,4,0,0,End of season 06'
83,1,10/6/06,Away,Florida Panthers,3,8,L,,0,1,0,L 1,37,19,1,0,38,23,4,0,
84,2,10/7/06,Away,Tampa Bay Lightning,3,2,W,,1,1,0,W 1,25,12,0,0,31,8,0,0,
85,3,10/11/06,Away,Atlanta Thrashers,1,4,L,,1,2,0,L 1,23,8,1,0,28,16,1,0,
86,4,10/12/06,Away,St. Louis Blues,2,3,L,SO,1,2,1,L 2,18,13,0,0,35,19,0,0,
87,5,10/14/06,Away,New York Islanders,1,4,L,,1,3,1,L 3,32,16,1,0,39,10,2,0,
88,6,10/19/06,Home,Calgary Flames,3,2,W,,2,3,1,W 1,30,9,1,0,28,11,0,0,
89,7,10/21/06,Home,Buffalo Sabres,2,6,L,,2,4,1,L 1,26,14,0,0,30,6,3,0,
90,8,10/26/06,Home,Montreal Canadiens,2,3,L,,2,5,1,L 2,36,22,1,0,30,34,2,0,
91,9,10/28/06,Home,Ottawa Senators,2,1,W,,3,5,1,W 1,32,33,1,0,36,21,1,0,
92,10,11/2/06,Home,Buffalo Sabres,4,5,L,SO,3,5,2,L 1,34,12,2,0,33,10,0,0,
93,11,11/4/06,Home,Tampa Bay Lightning,6,5,W,OT,4,5,2,W 1,33,14,3,0,28,18,2,0,
94,12,11/6/06,Away,Atlanta Thrashers,3,5,L,,4,6,2,L 1,27,26,2,1,39,14,4,0,
95,13,11/9/06,Home,Toronto Maple Leafs,4,6,L,,4,7,2,L 2,37,24,2,0,37,12,1,0,
96,14,11/11/06,Home,Ottawa Senators,4,3,W,,5,7,2,W 1,29,14,1,0,28,12,1,0,
97,15,11/15/06,Away,Washington Capitals,3,2,W,SO,6,7,2,W 2,35,14,0,0,35,12,1,1,
98,16,11/16/06,Home,Toronto Maple Leafs,2,1,W,OT,7,7,2,W 3,36,4,1,0,25,8,1,0,
99,17,11/18/06,Home,Washington Capitals,3,2,W,OT,8,7,2,W 4,38,12,2,0,29,16,1,0,
100,18,11/20/06,Home,Florida Panthers,2,3,L,,8,8,2,L 1,31,18,0,0,28,24,2,0,
101,19,11/22/06,Away,Pittsburgh Penguins,4,3,W,SO,9,8,2,W 1,31,16,2,0,25,10,1,0,
102,20,11/24/06,Home,Carolina Hurricanes,1,5,L,,9,9,2,L 1,26,8,1,0,40,10,1,0,
103,21,11/25/06,Away,Toronto Maple Leafs,3,1,W,,10,9,2,W 1,25,23,1,0,28,9,1,0,
104,22,11/28/06,Away,Toronto Maple Leafs,4,1,W,,11,9,2,W 2,24,12,0,0,46,6,0,0,
105,23,11/30/06,Home,Tampa Bay Lightning,4,3,W,SO,12,9,2,W 3,25,12,0,1,34,4,0,1,
106,24,12/2/06,Away,Carolina Hurricanes,2,5,L,,12,10,2,L 1,19,17,0,0,30,19,0,1,
107,25,12/4/06,Away,Montreal Canadiens,6,5,W,,13,10,2,W 1,30,8,0,1,39,6,2,0,
108,26,12/7/06,Home,Toronto Maple Leafs,3,1,W,,14,10,2,W 2,26,10,0,0,24,12,0,0,
109,27,12/9/06,Home,New Jersey Devils,1,5,L,,14,11,2,L 1,20,12,0,0,42,6,1,0,
110,28,12/12/06,Away,Montreal Canadiens,3,4,L,,14,12,2,L 2,34,12,2,0,40,8,1,0,
111,29,12/14/06,Home,New Jersey Devils,5,3,W,,15,12,2,W 1,45,13,3,0,29,29,1,0,
112,30,12/16/06,Home,Florida Panthers,3,6,L,,15,13,2,L 1,21,14,1,0,36,12,3,0,
113,31,12/19/06,Away,Ottawa Senators,7,2,W,,16,13,2,W 1,26,28,3,0,37,47,0,0,
114,32,12/21/06,Home,Vancouver Canucks,2,0,W,,17,13,2,W 2,19,12,2,0,39,22,0,0,
115,33,12/23/06,Home,Montreal Canadiens,4,2,W,,18,13,2,W 3,31,8,1,0,22,16,0,1,
116,34,12/26/06,Away,Columbus Blue Jackets,4,5,L,OT,18,13,3,L 1,26,12,1,0,42,12,1,1,
117,35,12/29/06,Away,Chicago Blackhawks,5,3,W,,19,13,3,W 1,21,17,2,1,40,23,0,0,
118,36,12/30/06,Away,Nashville Predators,0,5,L,,19,14,3,L 1,38,18,0,0,25,8,0,0,
119,37,1/1/07,Away,Toronto Maple Leafs,1,5,L,,19,15,3,L 2,28,16,1,0,35,12,2,0,
120,38,1/4/07,Home,Toronto Maple Leafs,2,10,L,,19,16,3,L 3,31,19,1,0,39,33,1,1,
121,39,1/6/07,Home,Philadelphia Flyers,4,3,W,,20,16,3,W 1,26,12,2,0,32,10,0,1,
122,40,1/9/07,Away,Ottawa Senators,2,5,L,,20,17,3,L 1,25,10,0,1,36,6,0,0,
123,41,1/11/07,Home,New York Islanders,4,5,L,SO,20,17,4,L 2,42,8,1,0,35,12,2,0,
124,42,1/13/07,Away,New York Rangers,1,3,L,,20,18,4,L 3,25,12,0,0,38,8,0,1,
125,43,1/15/07,Home,Buffalo Sabres,3,2,W,SO,21,18,4,W 1,37,11,1,0,36,13,0,0,
126,44,1/17/07,Away,Buffalo Sabres,3,6,L,,21,19,4,L 1,28,10,1,0,32,14,1,0,
127,45,1/18/07,Home,Pittsburgh Penguins,5,4,W,SO,22,19,4,W 1,44,12,1,0,35,8,2,0,
128,46,1/20/07,Home,Ottawa Senators,0,3,L,,22,20,4,L 1,18,46,0,0,39,17,1,1,
129,47,1/27/07,Away,Ottawa Senators,1,3,L,,22,21,4,L 2,30,10,0,0,36,8,0,1,
130,48,1/29/07,Home,New York Rangers,1,6,L,,22,22,4,L 3,30,12,1,0,29,8,1,2,
131,49,1/30/07,Away,Buffalo Sabres,1,7,L,,22,23,4,L 4,26,15,1,0,35,27,2,1,
132,50,2/1/07,Home,Buffalo Sabres,1,3,L,,22,24,4,L 5,34,21,0,0,28,19,1,0,
133,51,2/3/07,Away,Carolina Hurricanes,4,3,W,OT,23,24,4,W 1,33,24,2,0,37,20,1,0,
134,52,2/6/07,Away,Washington Capitals,3,2,W,SO,24,24,4,W 2,24,13,1,0,34,17,0,0,
135,53,2/8/07,Home,Carolina Hurricanes,2,5,L,,24,25,4,L 1,36,27,0,0,36,17,1,0,
136,54,2/10/07,Home,New York Islanders,4,3,W,SO,25,25,4,W 1,28,10,2,0,34,18,1,0,
137,55,2/13/07,Home,Edmonton Oilers,3,0,W,,26,25,4,W 2,23,19,2,0,32,15,0,0,
138,56,2/15/07,Away,New York Islanders,1,4,L,,26,26,4,L 1,25,4,1,0,38,6,0,0,
139,57,2/17/07,Away,Buffalo Sabres,4,3,W,SO,27,26,4,W 1,30,26,0,1,25,18,3,0,
140,58,2/19/07,Away,Philadelphia Flyers,6,3,W,,28,26,4,W 2,18,15,1,0,33,13,0,0,
141,59,2/20/07,Away,Toronto Maple Leafs,3,0,W,,29,26,4,W 3,21,12,0,1,44,10,0,0,
142,60,2/23/07,Away,Tampa Bay Lightning,6,2,W,,30,26,4,W 4,23,13,1,0,26,25,1,0,
143,61,2/24/07,Away,Florida Panthers,2,7,L,,30,27,4,L 1,27,12,2,0,52,18,2,1,
144,62,2/26/07,Home,Atlanta Thrashers,2,3,L,,30,28,4,L 2,24,8,0,0,20,8,2,0,
145,63,3/1/07,Home,Philadelphia Flyers,3,4,L,OT,30,28,5,L 3,37,12,1,0,55,10,1,1,
146,64,3/3/07,Home,Montreal Canadiens,3,1,W,,31,28,5,W 1,36,10,0,0,32,12,0,0,
147,65,3/4/07,Away,New Jersey Devils,4,1,W,,32,28,5,W 2,30,8,0,1,27,6,0,0,
148,66,3/6/07,Home,Colorado Avalanche,0,2,L,,32,29,5,L 1,21,6,0,0,30,10,0,0,
149,67,3/8/07,Home,Minnesota Wild,1,2,L,,32,30,5,L 2,30,22,0,0,32,16,0,0,
150,68,3/10/07,Away,Philadelphia Flyers,1,4,L,,32,31,5,L 3,27,13,0,0,29,15,0,1,
151,69,3/11/07,Away,Detroit Red Wings,6,3,W,,33,31,5,W 1,25,15,2,0,38,21,1,0,
152,70,3/15/07,Home,Washington Capitals,4,3,W,SO,34,31,5,W 2,39,17,3,0,34,23,1,1,
153,71,3/17/07,Away,New York Rangers,0,7,L,,34,32,5,L 1,30,41,0,0,39,29,4,0,
154,72,3/20/07,Away,Montreal Canadiens,0,1,L,,34,33,5,L 2,30,8,0,0,32,2,0,0,
155,73,3/22/07,Home,Montreal Canadiens,3,6,L,,34,34,5,L 3,35,16,0,0,30,10,3,0,
156,74,3/24/07,Home,New York Rangers,1,2,L,SO,34,34,6,L 4,41,10,0,0,36,19,0,0,
157,75,3/25/07,Away,Pittsburgh Penguins,0,5,L,,34,35,6,L 5,29,16,0,0,28,14,3,1,
158,76,3/27/07,Away,Ottawa Senators,3,2,W,,35,35,6,W 1,17,14,1,0,34,10,1,0,
159,77,3/29/07,Home,Pittsburgh Penguins,2,4,L,,35,36,6,L 1,33,10,0,0,26,4,1,0,
160,78,3/31/07,Home,Atlanta Thrashers,2,3,L,,35,37,6,L 2,27,24,1,0,40,16,0,0,
161,79,4/1/07,Away,New Jersey Devils,1,3,L,,35,38,6,L 3,18,10,1,0,24,6,1,0,
162,80,4/3/07,Away,Montreal Canadiens,0,2,L,,35,39,6,L 4,29,23,0,0,30,17,1,0,
163,81,4/5/07,Away,Buffalo Sabres,2,4,L,,35,40,6,L 5,22,12,1,0,33,12,1,0,
164,82,4/7/07,Home,Ottawa Senators,3,6,L,,35,41,6,L 6,32,12,1,0,28,16,1,0,End of season 04'
165,1,10/5/07,Away,Dallas Stars,1,4,L,,0,1,0,L 1,25,18,1,0,18,20,1,0,
166,2,10/6/07,Away,Phoenix Coyotes,3,1,W,,1,1,0,W 1,24,8,2,1,37,6,0,0,
167,3,10/10/07,Away,Anaheim Ducks,1,2,L,,1,2,0,L 1,19,6,0,0,30,6,0,0,
168,4,10/12/07,Away,Los Angeles Kings,8,6,W,,2,2,0,W 1,31,15,3,0,31,15,3,0,
169,5,10/13/07,Away,San Jose Sharks,2,1,W,,3,2,0,W 2,20,12,0,0,27,8,0,0,
170,6,10/18/07,Home,Tampa Bay Lightning,4,1,W,,4,2,0,W 3,24,14,0,0,36,10,0,0,
171,7,10/20/07,Home,New York Rangers,1,0,W,SO,5,2,0,W 4,19,12,0,0,26,16,0,0,
172,8,10/22/07,Away,Montreal Canadiens,1,6,L,,5,3,0,L 1,32,16,1,0,20,8,2,0,
173,9,10/25/07,Home,Chicago Blackhawks,3,1,W,,6,3,0,W 1,18,13,0,0,27,19,1,0,
174,10,10/27/07,Home,Philadelphia Flyers,1,2,L,,6,4,0,L 1,39,14,1,0,28,33,1,1,
175,11,11/1/07,Home,Buffalo Sabres,4,3,W,OT,7,4,0,W 1,24,6,1,0,30,10,2,0,
176,12,11/3/07,Away,Ottawa Senators,2,3,L,,7,5,0,L 1,19,19,0,0,45,9,3,0,
177,13,11/4/07,Home,Ottawa Senators,1,2,L,SO,7,5,1,L 2,22,12,0,0,36,8,0,1,
178,14,11/7/07,Away,Buffalo Sabres,1,2,L,OT,7,5,2,L 3,26,8,0,0,29,6,1,0,
179,15,11/8/07,Home,Montreal Canadiens,1,2,L,,7,6,2,L 4,29,7,0,0,32,13,0,0,
180,16,11/10/07,Home,Buffalo Sabres,2,1,W,,8,6,2,W 1,22,12,1,0,46,10,0,1,
181,17,11/15/07,Home,Toronto Maple Leafs,5,2,W,,9,6,2,W 2,27,15,0,0,36,7,1,0,
182,18,11/17/07,Away,Montreal Canadiens,4,7,L,,9,7,2,L 1,36,56,1,0,52,51,3,1,
183,19,11/20/07,Away,Toronto Maple Leafs,4,2,W,,10,7,2,W 1,25,6,1,0,32,4,1,0,
184,20,11/23/07,Home,New York Islanders,2,1,W,,11,7,2,W 2,25,11,1,0,25,11,0,0,
185,21,11/24/07,Away,New York Islanders,1,2,L,,11,8,2,L 1,21,6,0,0,29,6,0,0,
186,22,11/26/07,Away,Philadelphia Flyers,6,3,W,,12,8,2,W 1,32,15,0,0,23,24,3,0,
187,23,11/29/07,Away,Florida Panthers,4,3,W,,13,8,2,W 2,38,11,2,0,35,11,1,0,
188,24,12/1/07,Away,Tampa Bay Lightning,1,4,L,,13,9,2,L 1,29,6,1,0,28,8,1,0,
189,25,12/3/07,Away,New York Islanders,3,1,W,,14,9,2,W 1,22,12,2,0,33,12,1,0,
190,26,12/5/07,Away,New Jersey Devils,3,4,L,OT,14,9,3,L 1,26,11,1,0,34,11,1,0,
191,27,12/6/07,Home,Montreal Canadiens,2,4,L,,14,10,3,L 2,26,21,1,0,30,11,1,0,
192,28,12/8/07,Away,Toronto Maple Leafs,2,1,W,,15,10,3,W 1,20,12,1,0,26,8,0,0,
193,29,12/10/07,Away,Buffalo Sabres,4,1,W,,16,10,3,W 2,21,8,0,0,45,14,1,0,
194,30,12/12/07,Away,Atlanta Thrashers,5,3,W,,17,10,3,W 3,33,23,0,0,26,10,2,0,
195,31,12/13/07,Home,New Jersey Devils,1,3,L,,17,11,3,L 1,20,13,1,0,28,11,1,0,
196,32,12/15/07,Home,Columbus Blue Jackets,2,0,W,,18,11,3,W 1,18,15,1,0,32,11,0,0,
197,33,12/18/07,Home,Ottawa Senators,2,3,L,,18,12,3,L 1,28,4,0,0,27,8,1,0,
198,34,12/20/07,Home,Pittsburgh Penguins,4,5,L,SO,18,12,4,L 2,41,22,2,1,29,26,0,0,
199,35,12/22/07,Home,St. Louis Blues,1,4,L,,18,13,4,L 3,25,20,1,0,29,22,0,0,
200,36,12/23/07,Away,Pittsburgh Penguins,2,4,L,,18,14,4,L 4,30,10,0,0,25,6,1,0,
201,37,12/28/07,Away,Carolina Hurricanes,3,4,L,,18,15,4,L 5,21,27,0,1,37,11,1,1,
202,38,12/29/07,Away,Atlanta Thrashers,0,5,L,,18,16,4,L 6,26,20,0,0,29,16,1,0,
203,39,12/31/07,Home,Atlanta Thrashers,5,2,W,,19,16,4,W 1,37,10,3,0,30,8,1,0,
204,40,1/3/08,Home,Washington Capitals,2,0,W,,20,16,4,W 2,30,13,1,0,31,13,0,0,
205,41,1/5/08,Home,New Jersey Devils,4,3,W,,21,16,4,W 3,25,8,0,1,45,6,1,0,
206,42,1/8/08,Home,Carolina Hurricanes,0,1,L,,21,17,4,L 1,19,7,0,0,28,11,0,0,
207,43,1/10/08,Home,Montreal Canadiens,2,5,L,,21,18,4,L 2,25,16,0,0,32,10,2,0,
208,44,1/12/08,Away,Philadelphia Flyers,4,3,W,OT,22,18,4,W 1,32,14,2,0,24,16,2,0,
209,45,1/17/08,Home,Toronto Maple Leafs,2,3,L,SO,22,18,5,L 1,31,10,0,0,33,6,0,0,
210,46,1/19/08,Home,New York Rangers,4,3,W,SO,23,18,5,W 1,39,8,2,0,28,14,1,0,
211,47,1/20/08,Away,New York Rangers,3,1,W,,24,18,5,W 2,20,8,0,1,31,6,0,0,
212,48,1/22/08,Away,Montreal Canadiens,2,8,L,,24,19,5,L 1,31,20,0,0,24,30,2,0,
213,49,1/24/08,Home,New York Islanders,4,1,W,,25,19,5,W 1,30,6,2,0,29,6,0,0,
214,50,1/29/08,Home,Nashville Predators,3,1,W,,26,19,5,W 2,28,9,1,0,38,11,0,0,
215,51,1/31/08,Away,Ottawa Senators,4,1,W,,27,19,5,W 3,22,12,0,0,31,10,1,0,
216,52,2/2/08,Home,Detroit Red Wings,1,3,L,,27,20,5,L 1,23,8,0,0,32,8,1,0,
217,53,2/5/08,Home,Buffalo Sabres,2,4,L,,27,21,5,L 2,32,15,0,0,28,9,1,0,
218,54,2/8/08,Away,Buffalo Sabres,3,2,W,SO,28,21,5,W 1,37,10,0,0,23,10,1,0,
219,55,2/9/08,Home,Florida Panthers,3,6,L,,28,22,5,L 1,41,10,1,0,27,12,2,0,
220,56,2/12/08,Home,Carolina Hurricanes,2,3,L,,28,23,5,L 2,34,8,0,0,23,6,0,0,
221,57,2/13/08,Away,Pittsburgh Penguins,2,1,W,,29,23,5,W 1,33,16,0,0,21,12,1,0,
222,58,2/16/08,Away,Toronto Maple Leafs,3,4,L,OT,29,23,6,L 1,27,12,1,0,36,6,1,0,
223,59,2/19/08,Away,Carolina Hurricanes,3,2,W,SO,30,23,6,W 1,38,31,2,0,47,27,0,0,
224,60,2/21/08,Away,Florida Panthers,5,4,W,SO,31,23,6,W 2,48,12,2,0,27,20,0,0,
225,61,2/23/08,Away,Tampa Bay Lightning,5,3,W,,32,23,6,W 3,28,14,2,1,28,12,1,1,
226,62,2/26/08,Home,Ottawa Senators,4,0,W,,33,23,6,W 4,29,10,1,1,22,12,0,0,
227,63,2/28/08,Home,Pittsburgh Penguins,5,1,W,,34,23,6,W 5,31,15,1,0,28,19,0,0,
228,64,3/1/08,Home,Atlanta Thrashers,3,2,W,SO,35,23,6,W 6,35,8,0,0,28,10,0,0,
229,65,3/3/08,Away,Washington Capitals,2,10,L,,35,24,6,L 1,27,24,1,0,34,22,4,0,
230,66,3/4/08,Home,Florida Panthers,0,1,L,OT,35,24,7,L 2,40,10,0,0,32,8,0,0,
231,67,3/6/08,Home,Toronto Maple Leafs,2,8,L,,35,25,7,L 3,29,29,0,0,40,12,4,0,
232,68,3/8/08,Home,Washington Capitals,2,1,W,,36,25,7,W 1,28,20,2,0,24,41,1,0,
233,69,3/9/08,Away,New York Rangers,0,1,L,SO,36,25,8,L 1,29,13,0,0,35,13,0,0,
234,70,3/11/08,Away,Ottawa Senators,1,4,L,,36,26,8,L 2,29,6,0,0,25,8,2,0,
235,71,3/13/08,Home,Tampa Bay Lightning,1,3,L,,36,27,8,L 3,36,2,0,0,26,6,1,0,
236,72,3/15/08,Home,Philadelphia Flyers,3,2,W,OT,37,27,8,W 1,36,19,0,0,26,17,0,0,
237,73,3/16/08,Away,Washington Capitals,1,2,L,SO,37,27,9,L 1,40,8,1,0,33,10,1,0,
238,74,3/20/08,Home,Montreal Canadiens,2,4,L,,37,28,9,L 2,36,11,0,0,30,13,0,0,
239,75,3/22/08,Away,Montreal Canadiens,2,3,L,SO,37,28,10,L 3,35,16,0,0,31,22,0,0,
240,76,3/25/08,Away,Toronto Maple Leafs,6,2,W,,38,28,10,W 1,30,4,2,0,30,10,1,0,
241,77,3/27/08,Home,Toronto Maple Leafs,4,2,W,,39,28,10,W 2,34,4,1,0,32,6,1,0,
