,GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
261,17,11/15/08,@,New York Rangers,2,3,L,SO,10,3,4,L 1,,25,15,0,1,,31,9,0,0,
262,18,11/17/08,@,Toronto Maple Leafs,3,2,W,,11,3,4,W 1,,22,15,0,0,,30,11,0,0,
263,19,11/19/08,,Buffalo Sabres,7,4,W,,12,3,4,W 2,,23,10,2,0,,29,16,1,0,
264,20,11/21/08,,Florida Panthers,4,2,W,,13,3,4,W 3,,39,15,1,0,,32,13,0,0,
265,21,11/22/08,@,Montreal Canadiens,3,2,W,SO,14,3,4,W 4,,27,10,0,0,,35,6,0,0,
266,22,11/26/08,@,Buffalo Sabres,2,3,L,,14,4,4,L 1,,29,9,0,0,,23,9,0,1,
267,23,11/28/08,,New York Islanders,7,2,W,,15,4,4,W 1,,39,18,3,0,,24,20,1,0,
268,24,11/29/08,,Detroit Red Wings,4,1,W,,16,4,4,W 2,,19,8,0,0,,30,4,1,0,
269,25,12/4/08,@,Tampa Bay Lightning,3,1,W,,17,4,4,W 3,,26,6,0,1,,31,2,0,0,
270,26,12/6/08,@,Florida Panthers,4,0,W,,18,4,4,W 4,,32,4,1,0,,27,6,0,0,
271,27,12/8/08,,Tampa Bay Lightning,5,3,W,,19,4,4,W 5,,24,8,2,0,,29,12,0,0,
272,28,12/10/08,@,Washington Capitals,1,3,L,,19,5,4,L 1,,34,4,0,0,,26,6,1,0,
273,29,12/12/08,@,Atlanta Thrashers,7,3,W,,20,5,4,W 1,,25,30,2,0,,33,39,2,0,
274,30,12/13/08,,Atlanta Thrashers,4,2,W,,21,5,4,W 2,,29,23,2,0,,22,19,0,0,
275,31,12/18/08,,Toronto Maple Leafs,8,5,W,,22,5,4,W 3,,27,22,4,0,,36,24,2,0,
276,32,12/20/08,,Carolina Hurricanes,4,2,W,,23,5,4,W 4,,36,6,0,0,,34,2,1,0,
277,33,12/21/08,@,St. Louis Blues,6,3,W,,24,5,4,W 5,,28,11,2,1,,32,13,1,1,
278,34,12/23/08,@,New Jersey Devils,2,0,W,,25,5,4,W 6,,24,11,0,0,,25,13,0,0,
279,35,12/27/08,@,Carolina Hurricanes,4,2,W,,26,5,4,W 7,,22,8,0,0,,31,6,0,0,
280,36,12/28/08,@,Atlanta Thrashers,2,1,W,,27,5,4,W 8,,28,10,0,0,,33,10,0,0,
281,37,12/30/08,@,Pittsburgh Penguins,5,2,W,,28,5,4,W 9,,40,13,2,1,,34,23,0,0,
282,38,1/1/09,,Pittsburgh Penguins,4,2,W,,29,5,4,W 10,,26,10,1,0,,32,12,0,0,
283,39,1/3/09,,Buffalo Sabres,2,4,L,,29,6,4,L 1,,31,8,1,0,,25,8,1,0,
284,40,1/6/09,,Minnesota Wild,0,1,L,,29,7,4,L 2,,28,12,0,0,,24,6,1,0,
285,41,1/8/09,,Ottawa Senators,6,4,W,,30,7,4,W 1,,22,7,0,0,,30,9,0,0,
286,42,1/10/09,,Carolina Hurricanes,5,1,W,,31,7,4,W 2,,32,11,1,0,,30,15,0,0,
287,43,1/13/09,,Montreal Canadiens,3,1,W,,32,7,4,W 3,,29,15,2,0,,35,18,1,0,
288,44,1/15/09,@,New York Islanders,2,1,W,,33,7,4,W 4,,27,11,0,0,,41,11,0,0,
289,45,1/17/09,@,Washington Capitals,1,2,L,,33,8,4,L 1,,24,10,1,0,,30,8,1,0,
290,46,1/19/09,,St. Louis Blues,4,5,L,SO,33,8,5,L 2,,26,10,2,0,,31,12,1,0,
291,47,1/21/09,@,Toronto Maple Leafs,4,3,W,SO,34,8,5,W 1,,30,8,2,0,,34,8,1,0,
292,48,1/27/09,,Washington Capitals,3,2,W,OT,35,8,5,W 2,,28,17,2,0,,36,15,0,0,
293,49,1/29/09,,New Jersey Devils,3,4,L,OT,35,8,6,L 1,,27,7,0,0,,30,13,1,1,
294,50,1/31/09,,New York Rangers,1,0,W,,36,8,6,W 1,,27,2,0,0,,35,2,0,0,
295,51,2/1/09,@,Montreal Canadiens,3,1,W,,37,8,6,W 2,,23,19,0,0,,28,21,1,0,
296,52,2/4/09,@,Philadelphia Flyers,3,1,W,,38,8,6,W 3,,33,4,0,0,,26,10,0,0,
297,53,2/5/09,@,Ottawa Senators,4,3,W,SO,39,8,6,W 4,,30,4,2,0,,22,10,1,0,
298,54,2/7/09,,Philadelphia Flyers,3,4,L,OT,39,8,7,L 1,,37,10,0,0,,30,6,2,0,
299,55,2/10/09,,San Jose Sharks,2,5,L,,39,9,7,L 2,,30,2,0,0,,31,10,1,0,
300,56,2/13/09,@,New Jersey Devils,0,1,L,,39,10,7,L 3,,31,4,0,0,,18,4,0,0,
301,57,2/14/09,@,Nashville Predators,2,3,L,SO,39,10,8,L 4,,25,12,0,0,,31,8,0,1,
302,58,2/17/09,@,Carolina Hurricanes,5,1,W,,40,10,8,W 1,,34,12,2,2,,32,10,0,0,
303,59,2/21/09,@,Florida Panthers,0,2,L,,40,11,8,L 1,,41,6,0,0,,29,12,0,1,
304,60,2/22/09,@,Tampa Bay Lightning,3,4,L,,40,12,8,L 2,,43,22,1,0,,18,20,1,0,
305,61,2/24/09,,Florida Panthers,6,1,W,,41,12,8,W 1,,39,7,1,0,,25,9,0,0,
306,62,2/26/09,,Anaheim Ducks,6,0,W,,42,12,8,W 2,,27,18,2,0,,35,40,0,0,
307,63,2/28/09,,Washington Capitals,3,4,L,OT,42,12,9,L 1,,37,10,1,0,,32,8,2,0,
308,64,3/3/09,,Philadelphia Flyers,2,4,L,,42,13,9,L 2,,24,12,2,0,,26,10,1,0,
309,65,3/5/09,,Phoenix Coyotes,1,2,L,,42,14,9,L 3,,26,4,0,0,,18,6,1,0,
310,66,3/7/09,,Chicago Blackhawks,5,3,W,,43,14,9,W 1,,39,6,0,0,,35,6,2,0,
311,67,3/8/09,@,New York Rangers,3,4,L,,43,15,9,L 1,,39,17,1,0,,30,17,1,0,
312,68,3/10/09,@,Columbus Blue Jackets,0,2,L,,43,16,9,L 2,,35,13,0,0,,34,13,1,0,
313,69,3/12/09,,Ottawa Senators,5,3,W,,44,16,9,W 1,,22,15,1,1,,28,11,0,0,
314,70,3/14/09,,New York Islanders,2,1,W,,45,16,9,W 2,,25,8,0,0,,22,8,0,0,
315,71,3/15/09,@,Pittsburgh Penguins,4,6,L,,45,17,9,L 1,,25,16,1,1,,34,10,2,0,
316,72,3/19/09,,Los Angeles Kings,2,3,L,OT,45,17,10,L 2,,26,6,0,0,,38,8,1,0,
317,73,3/22/09,,New Jersey Devils,4,1,W,,46,17,10,W 1,,30,12,2,0,,42,8,0,0,
318,74,3/28/09,@,Toronto Maple Leafs,7,5,W,,47,17,10,W 2,,31,14,2,0,,38,14,1,0,
319,75,3/29/09,@,Philadelphia Flyers,4,3,W,,48,17,10,W 3,,31,16,1,0,,48,16,0,0,
320,76,3/31/09,,Tampa Bay Lightning,3,1,W,,49,17,10,W 4,,39,27,2,0,,25,29,0,0,
321,77,4/2/09,,Ottawa Senators,2,1,W,,50,17,10,W 5,,33,10,0,0,,32,8,0,0,
322,78,4/4/09,,New York Rangers,1,0,W,,51,17,10,W 6,,24,8,0,0,,31,8,0,0,
323,79,4/7/09,@,Ottawa Senators,2,3,L,,51,18,10,L 1,,33,10,1,0,,32,8,1,1,
324,80,4/9/09,,Montreal Canadiens,5,4,W,OT,52,18,10,W 1,,33,41,2,0,,39,35,3,0,
325,81,4/11/09,@,Buffalo Sabres,1,6,L,,52,19,10,L 1,,35,8,1,0,,34,10,1,0,
326,82,4/12/09,@,New York Islanders,6,2,W,,53,19,10,W 1,,33,8,2,0,,34,10,0,0,
