,GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
,24,11/25/09,@,Minnesota Wild,2,1,W,SO,12,8,4,W 4,,16,12,0,0,,29,8,1,0,
,25,11/27/09,,New Jersey Devils,1,2,L,SO,12,8,5,L 1,,33,11,0,0,,37,11,0,0,
,26,11/28/09,,Ottawa Senators,4,3,W,SO,13,8,5,W 1,,33,8,3,0,,22,10,1,0,
,27,12/2/09,,Tampa Bay Lightning,4,1,W,,14,8,5,W 2,,39,10,1,0,,40,6,0,0,
,28,12/4/09,@,Montreal Canadiens,1,5,L,,14,9,5,L 1,,38,8,0,0,,28,16,0,0,
,29,12/5/09,,Toronto Maple Leafs,7,2,W,,15,9,5,W 1,,33,20,2,0,,33,34,0,0,
,30,12/10/09,,Toronto Maple Leafs,5,2,W,,16,9,5,W 2,,34,11,2,0,,34,15,0,0,
,31,12/12/09,@,New York Islanders,2,3,L,OT,16,9,6,L 1,,32,2,0,0,,19,6,1,0,
,32,12/14/09,,Philadelphia Flyers,1,3,L,,16,10,6,L 2,,27,10,0,0,,38,8,0,1,
,33,12/18/09,@,Chicago Blackhawks,4,5,L,SO,16,10,7,L 3,,29,4,0,0,,44,2,0,0,
,34,12/19/09,@,Toronto Maple Leafs,0,2,L,,16,11,7,L 4,,25,12,0,0,,31,6,0,0,
,35,12/21/09,@,Ottawa Senators,2,0,W,,17,11,7,W 1,,29,4,0,0,,29,10,0,0,
,36,12/23/09,,Atlanta Thrashers,6,4,W,,18,11,7,W 2,,31,8,3,0,,29,10,0,0,
,37,12/27/09,@,Florida Panthers,2,1,W,,19,11,7,W 3,,28,6,0,0,,26,4,0,0,
,38,12/28/09,@,Tampa Bay Lightning,1,2,L,,19,12,7,L 1,,32,19,0,0,,39,13,1,0,
,39,12/30/09,,Atlanta Thrashers,4,0,W,,20,12,7,W 1,,30,8,1,0,,18,10,0,0,
,40,1/1/10,,Philadelphia Flyers,2,1,W,OT,21,12,7,W 2,,26,11,1,0,,25,13,0,0,NHL Winter Classic
,41,1/4/10,@,New York Rangers,2,3,L,,21,13,7,L 1,,28,10,0,1,,35,4,1,0,
,42,1/5/10,@,Ottawa Senators,4,1,W,,22,13,7,W 1,,35,33,2,0,,28,35,1,0,
,43,1/7/10,,Chicago Blackhawks,2,5,L,,22,14,7,L 1,,21,11,1,0,,36,15,0,0,
,44,1/9/10,,New York Rangers,1,3,L,,22,15,7,L 2,,30,11,0,0,,34,9,0,0,
,45,1/13/10,@,Anaheim Ducks,3,4,L,,22,16,7,L 3,,30,24,0,0,,32,20,1,0,
,46,1/14/10,@,San Jose Sharks,2,1,W,SO,23,16,7,W 1,,31,4,0,0,,42,4,0,0,
,47,1/16/10,@,Los Angeles Kings,3,4,L,SO,23,16,8,L 1,,24,20,0,0,,34,12,0,0,
,48,1/18/10,,Ottawa Senators,1,5,L,,23,17,8,L 2,,23,12,0,0,,26,4,1,0,
,49,1/21/10,,Columbus Blue Jackets,2,3,L,,23,18,8,L 3,,34,13,0,0,,25,11,1,0,
,50,1/23/10,,Ottawa Senators,1,2,L,,23,19,8,L 4,,33,2,0,0,,23,2,0,0,
,51,1/24/10,@,Carolina Hurricanes,1,5,L,,23,20,8,L 5,,28,8,1,0,,20,8,1,0,
,52,1/29/10,@,Buffalo Sabres,1,2,L,,23,21,8,L 6,,31,8,0,0,,23,2,1,0,
,53,1/30/10,,Los Angeles Kings,2,3,L,SO,23,21,9,L 7,,33,15,2,0,,29,29,2,0,
,54,2/2/10,,Washington Capitals,1,4,L,,23,22,9,L 8,,42,8,1,0,,26,12,0,0,
,55,2/4/10,,Montreal Canadiens,2,3,L,SO,23,22,10,L 9,,47,4,1,0,,25,12,1,0,
,56,2/6/10,,Vancouver Canucks,2,3,L,SO,23,22,11,L 10,,43,15,2,0,,31,17,0,0,
,57,2/7/10,@,Montreal Canadiens,3,0,W,,24,22,11,W 1,,27,9,0,0,,36,7,0,0,
,58,2/9/10,@,Buffalo Sabres,3,2,W,SO,25,22,11,W 2,,34,16,0,0,,45,14,1,0,
,59,2/11/10,@,Tampa Bay Lightning,5,4,W,,26,22,11,W 3,,36,21,1,0,,35,17,1,0,
,60,2/13/10,@,Florida Panthers,3,2,W,SO,27,22,11,W 4,,39,13,0,0,,28,9,1,0,
,61,3/2/10,,Montreal Canadiens,1,4,L,,27,23,11,L 1,,24,4,1,0,,32,8,0,0,
,62,3/4/10,,Toronto Maple Leafs,3,2,W,SO,28,23,11,W 1,,31,20,0,0,,26,18,0,0,
,63,3/6/10,@,New York Islanders,3,2,W,,29,23,11,W 2,,34,17,1,0,,39,4,1,0,
,64,3/7/10,@,Pittsburgh Penguins,1,2,L,,29,24,11,L 1,,22,4,1,0,,33,10,0,0,
,65,3/9/10,@,Toronto Maple Leafs,3,4,L,OT,29,24,12,L 2,,29,6,1,0,,30,4,0,0,
,66,3/11/10,@,Philadelphia Flyers,5,1,W,,30,24,12,W 1,,37,14,0,0,,32,24,1,0,
,67,3/13/10,@,Montreal Canadiens,2,3,L,,30,25,12,L 1,,23,10,0,0,,27,10,1,0,
,68,3/15/10,@,New Jersey Devils,2,3,L,,30,26,12,L 2,,36,12,0,0,,28,14,0,0,
,69,3/16/10,@,Carolina Hurricanes,5,2,W,,31,26,12,W 1,,37,10,0,0,,32,8,1,0,
,70,3/18/10,,Pittsburgh Penguins,0,3,L,,31,27,12,L 1,,17,26,0,0,,31,16,0,0,
,71,3/21/10,,New York Rangers,2,1,W,,32,27,12,W 1,,31,23,0,0,,24,17,0,0,
,72,3/23/10,@,Atlanta Thrashers,4,0,W,,33,27,12,W 2,,33,7,0,0,,27,9,0,0,
,73,3/25/10,,Tampa Bay Lightning,3,5,L,,33,28,12,L 1,,50,8,0,0,,18,6,2,0,
,74,3/27/10,,Calgary Flames,5,0,W,,34,28,12,W 1,,35,26,3,0,,31,15,0,0,
,75,3/29/10,,Buffalo Sabres,2,3,L,,34,29,12,L 1,,42,2,0,0,,33,4,0,0,
,76,3/30/10,@,New Jersey Devils,1,0,W,OT,35,29,12,W 1,,34,4,0,0,,21,14,0,0,
,77,4/1/10,,Florida Panthers,0,1,L,,35,30,12,L 1,,36,2,0,0,,20,6,0,0,
,78,4/3/10,@,Toronto Maple Leafs,2,1,W,OT,36,30,12,W 1,,30,4,0,0,,28,4,0,0,
,79,4/5/10,@,Washington Capitals,2,3,L,OT,36,30,13,L 1,,30,4,0,0,,30,6,1,0,
,80,4/8/10,,Buffalo Sabres,3,1,W,,37,30,13,W 1,,34,8,0,0,,32,12,0,0,
,81,4/10/10,,Carolina Hurricanes,4,2,W,,38,30,13,W 2,,42,8,0,3,,35,10,0,0,
,82,4/11/10,@,Washington Capitals,4,3,W,SO,39,30,13,W 3,,38,8,1,0,,37,18,0,0,
