,GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
181,19,11/20/07,@,Toronto Maple Leafs,4,2,W,,10,7,2,W 1,,25,6,1,0,,32,4,1,0,
182,20,11/23/07,,New York Islanders,2,1,W,,11,7,2,W 2,,25,11,1,0,,25,11,0,0,
183,21,11/24/07,@,New York Islanders,1,2,L,,11,8,2,L 1,,21,6,0,0,,29,6,0,0,
184,22,11/26/07,@,Philadelphia Flyers,6,3,W,,12,8,2,W 1,,32,15,0,0,,23,24,3,0,
185,23,11/29/07,@,Florida Panthers,4,3,W,,13,8,2,W 2,,38,11,2,0,,35,11,1,0,
186,24,12/1/07,@,Tampa Bay Lightning,1,4,L,,13,9,2,L 1,,29,6,1,0,,28,8,1,0,
187,25,12/3/07,@,New York Islanders,3,1,W,,14,9,2,W 1,,22,12,2,0,,33,12,1,0,
188,26,12/5/07,@,New Jersey Devils,3,4,L,OT,14,9,3,L 1,,26,11,1,0,,34,11,1,0,
189,27,12/6/07,,Montreal Canadiens,2,4,L,,14,10,3,L 2,,26,21,1,0,,30,11,1,0,
190,28,12/8/07,@,Toronto Maple Leafs,2,1,W,,15,10,3,W 1,,20,12,1,0,,26,8,0,0,
191,29,12/10/07,@,Buffalo Sabres,4,1,W,,16,10,3,W 2,,21,8,0,0,,45,14,1,0,
192,30,12/12/07,@,Atlanta Thrashers,5,3,W,,17,10,3,W 3,,33,23,0,0,,26,10,2,0,
193,31,12/13/07,,New Jersey Devils,1,3,L,,17,11,3,L 1,,20,13,1,0,,28,11,1,0,
194,32,12/15/07,,Columbus Blue Jackets,2,0,W,,18,11,3,W 1,,18,15,1,0,,32,11,0,0,
195,33,12/18/07,,Ottawa Senators,2,3,L,,18,12,3,L 1,,28,4,0,0,,27,8,1,0,
196,34,12/20/07,,Pittsburgh Penguins,4,5,L,SO,18,12,4,L 2,,41,22,2,1,,29,26,0,0,
197,35,12/22/07,,St. Louis Blues,1,4,L,,18,13,4,L 3,,25,20,1,0,,29,22,0,0,
198,36,12/23/07,@,Pittsburgh Penguins,2,4,L,,18,14,4,L 4,,30,10,0,0,,25,6,1,0,
199,37,12/28/07,@,Carolina Hurricanes,3,4,L,,18,15,4,L 5,,21,27,0,1,,37,11,1,1,
200,38,12/29/07,@,Atlanta Thrashers,0,5,L,,18,16,4,L 6,,26,20,0,0,,29,16,1,0,
201,39,12/31/07,,Atlanta Thrashers,5,2,W,,19,16,4,W 1,,37,10,3,0,,30,8,1,0,
202,40,1/3/08,,Washington Capitals,2,0,W,,20,16,4,W 2,,30,13,1,0,,31,13,0,0,
203,41,1/5/08,,New Jersey Devils,4,3,W,,21,16,4,W 3,,25,8,0,1,,45,6,1,0,
204,42,1/8/08,,Carolina Hurricanes,0,1,L,,21,17,4,L 1,,19,7,0,0,,28,11,0,0,
205,43,1/10/08,,Montreal Canadiens,2,5,L,,21,18,4,L 2,,25,16,0,0,,32,10,2,0,
206,44,1/12/08,@,Philadelphia Flyers,4,3,W,OT,22,18,4,W 1,,32,14,2,0,,24,16,2,0,
207,45,1/17/08,,Toronto Maple Leafs,2,3,L,SO,22,18,5,L 1,,31,10,0,0,,33,6,0,0,
208,46,1/19/08,,New York Rangers,4,3,W,SO,23,18,5,W 1,,39,8,2,0,,28,14,1,0,
209,47,1/20/08,@,New York Rangers,3,1,W,,24,18,5,W 2,,20,8,0,1,,31,6,0,0,
210,48,1/22/08,@,Montreal Canadiens,2,8,L,,24,19,5,L 1,,31,20,0,0,,24,30,2,0,
211,49,1/24/08,,New York Islanders,4,1,W,,25,19,5,W 1,,30,6,2,0,,29,6,0,0,
212,50,1/29/08,,Nashville Predators,3,1,W,,26,19,5,W 2,,28,9,1,0,,38,11,0,0,
213,51,1/31/08,@,Ottawa Senators,4,1,W,,27,19,5,W 3,,22,12,0,0,,31,10,1,0,
214,52,2/2/08,,Detroit Red Wings,1,3,L,,27,20,5,L 1,,23,8,0,0,,32,8,1,0,
215,53,2/5/08,,Buffalo Sabres,2,4,L,,27,21,5,L 2,,32,15,0,0,,28,9,1,0,
216,54,2/8/08,@,Buffalo Sabres,3,2,W,SO,28,21,5,W 1,,37,10,0,0,,23,10,1,0,
217,55,2/9/08,,Florida Panthers,3,6,L,,28,22,5,L 1,,41,10,1,0,,27,12,2,0,
218,56,2/12/08,,Carolina Hurricanes,2,3,L,,28,23,5,L 2,,34,8,0,0,,23,6,0,0,
219,57,2/13/08,@,Pittsburgh Penguins,2,1,W,,29,23,5,W 1,,33,16,0,0,,21,12,1,0,
220,58,2/16/08,@,Toronto Maple Leafs,3,4,L,OT,29,23,6,L 1,,27,12,1,0,,36,6,1,0,
221,59,2/19/08,@,Carolina Hurricanes,3,2,W,SO,30,23,6,W 1,,38,31,2,0,,47,27,0,0,
222,60,2/21/08,@,Florida Panthers,5,4,W,SO,31,23,6,W 2,,48,12,2,0,,27,20,0,0,
223,61,2/23/08,@,Tampa Bay Lightning,5,3,W,,32,23,6,W 3,,28,14,2,1,,28,12,1,1,
224,62,2/26/08,,Ottawa Senators,4,0,W,,33,23,6,W 4,,29,10,1,1,,22,12,0,0,
225,63,2/28/08,,Pittsburgh Penguins,5,1,W,,34,23,6,W 5,,31,15,1,0,,28,19,0,0,
226,64,3/1/08,,Atlanta Thrashers,3,2,W,SO,35,23,6,W 6,,35,8,0,0,,28,10,0,0,
227,65,3/3/08,@,Washington Capitals,2,10,L,,35,24,6,L 1,,27,24,1,0,,34,22,4,0,
228,66,3/4/08,,Florida Panthers,0,1,L,OT,35,24,7,L 2,,40,10,0,0,,32,8,0,0,
229,67,3/6/08,,Toronto Maple Leafs,2,8,L,,35,25,7,L 3,,29,29,0,0,,40,12,4,0,
230,68,3/8/08,,Washington Capitals,2,1,W,,36,25,7,W 1,,28,20,2,0,,24,41,1,0,
231,69,3/9/08,@,New York Rangers,0,1,L,SO,36,25,8,L 1,,29,13,0,0,,35,13,0,0,
232,70,3/11/08,@,Ottawa Senators,1,4,L,,36,26,8,L 2,,29,6,0,0,,25,8,2,0,
233,71,3/13/08,,Tampa Bay Lightning,1,3,L,,36,27,8,L 3,,36,2,0,0,,26,6,1,0,
234,72,3/15/08,,Philadelphia Flyers,3,2,W,OT,37,27,8,W 1,,36,19,0,0,,26,17,0,0,
235,73,3/16/08,@,Washington Capitals,1,2,L,SO,37,27,9,L 1,,40,8,1,0,,33,10,1,0,
236,74,3/20/08,,Montreal Canadiens,2,4,L,,37,28,9,L 2,,36,11,0,0,,30,13,0,0,
237,75,3/22/08,@,Montreal Canadiens,2,3,L,SO,37,28,10,L 3,,35,16,0,0,,31,22,0,0,
238,76,3/25/08,@,Toronto Maple Leafs,6,2,W,,38,28,10,W 1,,30,4,2,0,,30,10,1,0,
239,77,3/27/08,,Toronto Maple Leafs,4,2,W,,39,28,10,W 2,,34,4,1,0,,32,6,1,0,
240,78,3/29/08,,Ottawa Senators,4,0,W,,40,28,10,W 3,,31,15,1,1,,34,17,0,0,
241,79,3/30/08,@,Buffalo Sabres,1,2,L,OT,40,28,11,L 1,,18,8,0,1,,30,8,1,0,
242,80,4/2/08,@,New Jersey Devils,2,3,L,SO,40,28,12,L 2,,27,4,1,0,,25,8,0,0,
243,81,4/4/08,@,Ottawa Senators,2,1,W,,41,28,12,W 1,,29,6,0,0,,18,6,0,0,
244,82,4/5/08,,Buffalo Sabres,0,3,L,,41,29,12,L 1,,17,6,0,0,,28,4,2,0,
