loc,fowP,foL,foW,pkPctg,ppPctg,sf,sa,satp,ozf,dzf,spsv,hit,bks,tka,gva,wol
0,50.7,35,36,100,0,33,35,50.41,15,23,94.91,24,18,5,8,0
0,59.67,25,37,60,0,32,29,52.81,17,14,107.41,42,19,7,3,1
1,40.32,37,25,100,40,29,32,47.19,14,17,92.59,40,16,9,11,0
1,45.9,33,28,100,50,23,33,43.16,9,20,98.47,22,14,4,5,1
0,54.38,26,31,75,50,31,36,43.24,12,16,104.4,36,23,5,9,1
1,45.61,31,26,50,25,36,31,56.76,16,12,95.6,25,15,7,10,0
1,46.55,31,27,100,50,26,24,46.15,14,17,108.73,15,25,3,20,1
0,53.44,27,31,50,0,24,26,53.85,17,14,91.27,18,9,2,17,0
0,54.09,28,33,50,0,33,23,56.84,20,9,101.53,12,15,5,6,0
0,53.44,27,31,0,50,24,32,44.33,18,19,100.65,12,19,9,5,0
1,46.77,33,29,100,33.33,25,27,42.53,14,9,73.18,34,20,14,23,0
0,50,32,32,100,0,23,29,38.36,18,14,101.71,15,15,7,11,0
1,50,32,32,100,0,29,23,61.64,14,18,98.29,18,11,8,10,1
0,52.94,24,27,100,0,24,30,45.88,18,13,93.01,20,8,4,7,0
1,46.55,31,27,50,100,32,24,55.67,19,18,99.35,26,13,5,9,1
1,50.81,30,31,40,0,32,32,48.19,18,11,107.24,23,17,16,14,1
1,44.11,38,30,100,50,45,34,52.13,19,17,96.2,18,8,17,6,1
0,55.88,30,38,50,0,34,45,47.87,17,19,103.8,11,6,6,2,0
1,47.05,27,24,100,0,30,24,54.12,13,18,106.99,24,17,4,7,1
0,49.18,31,30,100,60,32,32,51.81,11,18,92.76,24,11,5,16,0
0,53.22,29,33,66.66,0,27,25,57.47,9,14,126.82,23,12,9,9,1
0,55.35,25,31,100,0,38,31,57.52,15,11,96.96,25,20,8,10,1
1,46.15,28,24,100,66.66,31,28,53.85,13,10,99.24,33,15,6,10,1
0,50.94,26,27,100,33.33,33,30,41.38,14,13,100.33,16,15,6,6,1
0,44.06,33,26,50,25,35,20,54.43,14,15,107.41,24,9,6,7,1
1,49.05,27,26,66.66,0,30,33,58.62,13,14,99.67,17,9,6,15,0
1,44.64,31,25,100,0,31,38,42.48,11,15,103.04,26,26,7,12,0
0,50,25,25,40,0,23,29,52.56,17,8,100,31,13,1,7,0
1,50,25,25,100,60,29,23,47.44,8,17,100,20,14,6,4,1
1,55.93,26,33,75,50,20,35,45.57,15,14,92.59,20,14,7,8,0
0,53.84,24,28,33.33,0,28,31,46.15,10,13,100.76,25,20,6,17,0
0,50.81,30,31,100,16.66,41,32,55.43,16,15,107.41,14,19,6,9,1
1,57.69,22,30,100,50,30,29,52.87,13,12,100.83,27,13,9,14,1
1,58.49,22,31,100,0,30,20,61.8,21,11,104.46,21,11,11,11,1
1,54.16,22,26,0,100,41,27,64.35,13,9,91.83,21,8,16,15,0
0,45.83,26,22,0,0,27,41,35.65,9,13,108.17,29,19,5,11,1
0,41.5,31,22,100,0,20,30,38.2,11,21,95.54,38,16,12,7,0
0,42.3,30,22,50,0,29,30,47.13,12,13,99.17,34,20,1,5,0
1,49.18,31,30,83.33,0,32,41,44.57,15,16,92.59,14,17,5,15,0
0,52.63,27,30,75,0,38,32,56.88,15,19,98.11,24,8,11,17,1
1,47.36,30,27,100,25,32,38,43.12,19,15,101.89,26,19,7,15,0
0,54.38,26,31,100,0,28,25,56.18,17,17,98.91,15,7,5,2,1
1,45.61,31,26,100,0,25,28,43.82,17,17,101.09,9,13,4,3,0
1,45.28,29,24,66.66,0,31,27,64,14,10,93.33,27,12,1,10,0
0,58.44,32,45,60,20,36,47,36.08,16,20,105.58,15,14,10,8,0
0,54.71,24,29,100,33.33,27,31,36,10,14,106.67,16,13,3,7,1
1,41.55,45,32,80,40,47,36,63.92,20,16,94.43,29,14,4,9,1
0,60.71,22,34,50,33.33,45,32,51.72,8,16,98.06,21,10,7,4,0
1,39.28,34,22,66.66,50,32,45,48.28,16,8,101.94,19,9,9,10,1
0,60,16,24,100,0,29,27,57.58,10,9,95.69,38,7,9,8,0
1,40,24,16,100,0,27,29,42.42,9,10,104.31,26,20,11,18,1
1,43.85,32,25,66.66,66.66,23,44,44,9,22,114.29,16,7,13,9,1
0,56.14,25,32,33.33,33.33,44,23,56,22,9,85.71,19,10,2,10,0
0,47.14,37,33,100,0,41,29,56.31,22,13,88.11,19,19,2,11,0
1,45,33,27,100,0,36,24,48.91,16,14,86.06,28,17,4,14,0
0,46.51,23,20,100,50,25,32,54.32,11,13,100,7,16,6,10,1
0,57.35,29,39,66.66,66.66,30,21,54.43,20,12,97.25,21,14,4,7,1
