gameID,tm,oppTm,wol,loc,ga,gf,fowP,foL,foW,pkPctg,ppPctg,sf,sa,satp,ozf,dzf,spsv,hit,bks,tka,gva
2010020365,BOS,TBL,1,1,1,8,55.73,27,34,100.0,25.0,32,38,41.0,9,14,124.14,23,14,3,5
2010020359,BOS,PHI,1,0,0,3,46.42,30,26,100.0,50.0,32,41,40.21,11,12,104.76,21,14,11,8
2010020346,BOS,ATL,0,0,4,1,47.54,32,29,66.66,0.0,41,26,60.92,17,12,86.91,17,13,12,2
2010020321,BOS,CAR,0,1,3,0,54.54,20,24,0.0,0.0,37,21,63.53,14,7,100.0,17,13,3,6
2010020315,BOS,FLA,1,0,1,3,47.61,33,30,100.0,25.0,37,32,50.0,15,18,99.38,24,10,3,3
2010020304,BOS,TBL,0,0,3,1,43.75,27,21,100.0,0.0,27,36,50.0,8,7,94.55,21,9,4,8
2010020283,BOS,LAK,0,1,3,3,63.23,25,43,100.0,20.0,41,26,61.63,16,11,84.95,27,17,8,5
2010020269,BOS,FLA,1,1,0,4,47.54,32,29,100.0,0.0,40,41,51.0,17,16,110.81,15,12,2,3
2010020258,BOS,NYR,1,0,2,3,54.0,23,27,80.0,0.0,20,36,41.25,4,18,114.75,18,15,5,6
2010020248,BOS,NJD,1,1,0,3,50.0,23,23,100.0,14.28,24,28,41.33,7,7,111.76,20,14,5,5
2010020233,BOS,OTT,0,1,2,0,44.23,29,23,100.0,0.0,31,33,39.19,12,13,93.1,28,13,3,4
2010020217,BOS,MTL,0,1,3,1,53.84,30,35,60.0,0.0,35,41,37.93,12,19,101.82,25,15,0,8
2010020212,BOS,PIT,1,0,4,7,52.11,34,37,50.0,33.33,33,46,38.74,10,24,114.76,17,18,7,2
2010020188,BOS,STL,0,1,1,1,46.05,41,35,100.0,0.0,34,35,43.82,18,15,100.85,35,17,7,2
2010020180,BOS,WSH,0,0,5,3,54.54,35,42,100.0,66.66,18,39,42.42,13,26,98.05,24,18,3,8
2010020164,BOS,BUF,1,0,2,5,28.57,45,18,83.33,0.0,26,35,44.12,6,10,107.0,11,13,5,5
2010020145,BOS,OTT,1,0,0,4,52.94,24,27,100.0,25.0,25,29,42.55,15,11,115.0,13,27,6,10
2010020129,BOS,TOR,1,1,0,2,45.28,29,24,100.0,33.33,32,20,54.55,15,11,104.17,30,13,10,9
2010020098,BOS,NYR,0,1,3,2,50.0,28,28,83.33,16.66,37,30,48.1,6,6,93.44,33,18,2,10
2010020082,BOS,WSH,1,1,1,4,48.21,29,27,100.0,75.0,34,39,46.39,10,16,100.62,34,14,9,4
2010020074,BOS,WSH,1,0,1,3,49.09,28,27,100.0,0.0,21,36,36.78,6,18,112.34,23,19,1,10
2010020056,BOS,NJD,1,0,1,4,50.0,21,21,100.0,0.0,35,32,46.67,4,14,109.33,24,12,2,3
2010020024,BOS,PHX,1,0,0,3,50.0,37,37,100.0,0.0,37,29,48.48,18,21,112.0,19,14,5,5
2010020012,BOS,PHX,0,1,5,2,44.59,41,33,50.0,25.0,42,37,57.41,20,11,91.75,23,11,2,1
