GameID,teamAbbrev,SATP,OZF,DZF, SPSv 
2017021083,TOR,0.5172,15,14, 1.06 
2017021088,COL,0.3529,9,12, 1.12 
2017021089,CHI,0.4545,15,15, 0.91 
2017021085,PHI,0.4906,15,11, 0.90 
2017021083,BUF,0.4828,14,15, 0.94 
2017021088,STL,0.6471,12,9, 0.88 
2017021085,CBJ,0.5094,11,15, 1.10 
2017021090,NSH,0.4945,10,17, 1.01 
2017021091,LAK,0.4605,14,10, 1.19 
2017021089,WPG,0.5455,15,15, 1.09 
2017021090,ARI,0.5055,17,10, 0.99 
2017021084,WSH,0.3721,10,21, 1.15 
2017021079,PIT,0.5408,14,13, 1.05 
2017021079,NYR,0.4592,13,14, 0.95 
2017021080,EDM,0.4433,15,22, 1.07 
2017021080,SJS,0.5567,22,15, 0.93 
2017021081,VGK,0.5588,17,11, 0.78 
2017021081,NJD,0.4412,11,17, 1.22 
2017021082,ANA,0.4944,15,10, 1.07 
2017021078,DAL,0.4646,19,15, 1.00 
2017021082,VAN,0.5056,10,15, 0.93 
2017021078,TOR,0.5354,15,19, 1.00 
2017021072,DAL,0.5545,17,19, 0.98 
2017021072,MTL,0.4455,19,17, 1.02 
2017021075,MIN,0.5663,12,10, 0.85 
2017021073,OTT,0.402,13,21, 1.11 
2017021075,COL,0.4337,10,12, 1.15 
2017021073,TBL,0.598,21,13, 0.89 
2017021076,EDM,0.4592,15,9, 0.96 
2017021074,WPG,0.551,18,23, 0.97 
2017021077,LAK,0.4845,17,17, 0.94 
2017021077,ARI,0.5155,17,17, 1.06 
2017021074,NSH,0.449,23,18, 1.03 
2017021076,CGY,0.5408,9,15, 1.04 
2017021071,CAR,0.5859,20,20, 0.89 
2017021071,BOS,0.4141,20,20, 1.11 
2017021067,FLA,0.6311,21,15, 0.88 
2017021069,LAK,0.53,15,13, 1.11 
2017021070,SJS,0.4945,10,16, 0.96 
2017021067,OTT,0.3689,15,21, 1.12 
2017021070,DET,0.5055,16,10, 1.04 
2017021069,VAN,0.47,13,15, 0.89 
2017021065,WSH,0.4904,20,21, 0.99 
2017021064,VGK,0.4444,10,17, 1.02 
2017021068,STL,0.4432,9,16, 1.09 
2017021064,PHI,0.5556,17,10, 0.98 
2017021066,MTL,0.6139,16,21, 0.93 
2017021068,ANA,0.5568,16,9, 0.91 
2017021063,NYR,0.3465,18,19, 1.09 
2017021065,WPG,0.5096,21,20, 1.01 
2017021066,CBJ,0.3861,21,16, 1.07 
2017021063,CAR,0.6535,19,18, 0.91 
2017021061,DAL,0.4308,9,11, 0.95 
2017021061,PIT,0.5692,11,9, 1.05 
2017021062,VAN,0.4796,28,11, 1.00 
2017021062,ARI,0.5204,11,28, 1.00 
2017021060,CGY,0.6293,25,11, 0.89 
2017021060,NYI,0.3707,11,25, 1.11 
2017021059,BOS,0.5273,20,14, 1.00 
2017021059,CHI,0.4727,14,20, 1.00 
2017021058,EDM,0.4343,12,12, 1.01 
2017021058,MIN,0.5657,12,12, 0.99 
2017021057,NJD,0.4038,20,19, 1.06 
2017021055,PIT,0.631,22,11, 0.93 
2017021056,FLA,0.5361,14,17, 0.97 
2017021056,NYR,0.4639,17,14, 1.03 
2017021055,TOR,0.369,11,22, 1.07 
2017021057,NSH,0.5962,19,20, 0.94 
2017021053,STL,0.5,12,17, 1.15 
2017021048,CHI,0.4353,14,12, 1.14 
2017021052,ARI,0.5,13,16, 0.91 
2017021048,BOS,0.5647,12,14, 0.86 
2017021049,BUF,0.5111,17,19, 1.00 
2017021050,MTL,0.4762,13,14, 1.01 
2017021053,LAK,0.5,17,12, 0.85 
2017021052,COL,0.5,16,13, 1.09 
2017021054,SJS,0.4608,14,19, 0.96 
2017021050,TBL,0.5238,14,13, 0.99 
2017021051,WPG,0.4565,12,16, 0.97 
2017021049,VGK,0.4889,19,17, 1.00 
2017021051,PHI,0.5435,16,12, 1.03 
2017021054,WSH,0.5392,19,14, 1.04 
2017021046,ANA,0.4259,9,20, 1.04 
2017021045,OTT,0.4248,14,21, 0.94 
2017021046,DAL,0.5741,20,9, 0.96 
2017021045,CGY,0.5752,21,14, 1.06 
2017021047,MIN,0.4124,13,17, 1.07 
2017021044,DET,0.4176,12,16, 1.04 
2017021044,CBJ,0.5824,16,12, 0.96 
2017021047,VAN,0.5876,17,13, 0.93 
2017021038,MTL,0.5728,27,13, 0.88 
2017021037,NYR,0.41,15,16, 0.98 
2017021043,STL,0.4059,10,18, 1.00 
2017021043,SJS,0.5941,18,10, 1.00 
2017021036,DET,0.5316,14,10, 0.88 
2017021037,TBL,0.59,16,15, 1.02 
2017021035,OTT,0.5,17,9, 1.02 
2017021042,WSH,0.4694,14,21, 0.97 
2017021040,CAR,0.6701,21,9, 0.96 
2017021042,LAK,0.5306,21,14, 1.03 
2017021040,CHI,0.3299,9,21, 1.04 
2017021038,FLA,0.4272,13,27, 1.12 
2017021036,VGK,0.4684,10,14, 1.12 
2017021035,BUF,0.5,9,17, 0.98 
2017021032,BOS,0.5244,16,12, 1.13 
2017021033,NJD,0.604,23,13, 0.92 
2017021033,WPG,0.396,13,23, 1.08 
2017021032,PHI,0.4756,12,16, 0.87 
2017021041,EDM,0.5462,24,18, 1.00 
2017021034,CBJ,0.5814,12,11, 0.93 
2017021041,NYI,0.4538,18,24, 1.00 
2017021034,COL,0.4186,11,12, 1.07 
2017021039,ANA,0.5326,15,13, 0.97 
2017021039,NSH,0.4674,13,15, 1.03 
2017021030,PIT,0.5,9,10, 1.06 
2017021030,PHI,0.5,10,9, 0.94 
2017021029,CGY,0.6395,18,11, 1.06 
2017021029,BUF,0.3605,11,18, 0.94 
2017021031,ARI,0.6023,16,7, 1.04 
2017021031,VAN,0.3977,7,16, 0.96 
2017021024,TBL,0.459,14,17, 1.05 
2017021027,CHI,0.4896,10,18, 1.04 
2017021024,FLA,0.541,17,14, 0.95 
2017021027,COL,0.5104,18,10, 0.96 
2017021020,BOS,0.5,12,12, 0.94 
2017021021,NJD,0.4362,14,19, 1.02 
2017021028,WSH,0.5926,18,8, 0.88 
2017021022,WPG,0.5263,22,16, 1.06 
2017021021,MTL,0.5638,19,14, 0.98 
2017021025,DAL,0.4533,16,12, 0.95 
2017021022,NYR,0.4737,16,22, 0.94 
2017021023,VGK,0.5625,23,14, 0.85 
2017021023,CBJ,0.4375,14,23, 1.15 
2017021025,NSH,0.5467,12,16, 1.05 
2017021026,MIN,0.5146,15,18, 1.10 
2017021028,ANA,0.4074,8,18, 1.13 
2017021026,CAR,0.4854,18,15, 0.90 
2017021020,DET,0.5,12,12, 1.06 
2017021017,OTT,0.5644,15,19, 1.04 
2017021017,DAL,0.4356,19,15, 0.96 
2017021015,TOR,0.5862,28,14, 0.85 
2017021015,BUF,0.4138,14,28, 1.15 
2017021019,VAN,0.5,14,13, 1.02 
2017021019,NYI,0.5,13,14, 0.98 
2017021016,CGY,0.5818,18,18, 0.97 
2017021016,PIT,0.4182,18,18, 1.03 
2017021018,EDM,0.3889,17,15, 0.95 
2017021018,ARI,0.6111,15,17, 1.05 
2017021012,WPG,0.4362,8,9, 1.02 
2017021012,CAR,0.5638,9,8, 0.98 
2017021014,SJS,0.4545,14,16, 0.96 
2017021014,CBJ,0.5455,16,14, 1.04 
2017021013,DET,0.4762,13,11, 0.95 
2017021013,MIN,0.5238,11,13, 1.05 
2017021011,NJD,0.5227,21,14, 0.94 
2017021011,VGK,0.4773,14,21, 1.06 
2017021008,PHI,0.5833,17,10, 0.87 
2017021008,FLA,0.4167,10,17, 1.13 
2017021010,ANA,0.4322,8,15, 1.11 
2017021009,NSH,0.5319,15,14, 0.94 
2017021010,CHI,0.5678,15,8, 0.89 
2017021009,COL,0.4681,14,15, 1.06 
2017021007,NYR,0.4762,14,22, 1.04 
2017021007,EDM,0.5238,22,14, 0.96 
2017021005,TOR,0.5727,18,18, 0.98 
2017021005,WSH,0.4273,18,18, 1.02 
2017021006,ARI,0.5281,16,22, 1.04 
2017021006,OTT,0.4719,22,16, 0.96 
2017021004,NYI,0.3947,11,24, 1.06 
2017021003,BOS,0.6184,16,9, 0.95 
2017021004,PIT,0.6053,24,11, 0.94 
2017021003,MTL,0.3816,9,16, 1.05 
2017021000,PHI,0.4578,15,14, 1.01 
2017021001,STL,0.5155,16,21, 1.00 
2017021000,TBL,0.5422,14,15, 0.99 
2017021001,DAL,0.4845,21,16, 1.00 
2017021002,CHI,0.5057,11,16, 1.00 
2017021002,LAK,0.4943,16,11, 1.00 
2017020992,BUF,0.5522,19,15, 0.86 
2017020992,FLA,0.4478,15,19, 1.14 
2017020993,CAR,0.5682,15,12, 1.07 
2017020993,NJD,0.4318,12,15, 0.93 
2017020994,WPG,0.5877,24,18, 1.04 
2017020996,CGY,0.5938,17,16, 0.90 
2017020999,ANA,0.5385,16,14, 1.02 
2017020999,CBJ,0.4615,14,16, 0.98 
2017020995,COL,0.4694,9,18, 1.29 
2017020997,NSH,0.6476,19,16, 1.00 
2017020998,VGK,0.4719,13,15, 0.97 
2017020991,NYI,0.5732,12,13, 0.90 
2017020996,NYR,0.4063,16,17, 1.10 
2017020995,MIN,0.5306,18,9, 0.71 
2017020997,VAN,0.3524,16,19, 1.00 
2017020994,DET,0.4123,18,24, 0.96 
2017020998,OTT,0.5281,15,13, 1.03 
2017020991,MTL,0.4268,13,12, 1.10 
2017020985,NJD,0.4947,12,16, 0.90 
2017020989,CBJ,0.5534,14,17, 0.97 
2017020986,TBL,0.4419,11,15, 1.17 
2017020989,LAK,0.4466,17,14, 1.03 
2017020985,FLA,0.5053,16,12, 1.10 
2017020986,DAL,0.5581,15,11, 0.83 
2017020990,CHI,0.5492,22,14, 0.85 
2017020987,EDM,0.437,22,20, 0.92 
2017020984,CAR,0.5714,19,9, 1.04 
2017020983,PIT,0.3333,17,13, 1.05 
2017020983,BOS,0.6667,13,17, 0.95 
2017020990,SJS,0.4508,14,22, 1.15 
2017020984,PHI,0.4286,9,19, 0.96 
2017020988,ARI,0.5313,8,18, 1.10 
2017020987,NSH,0.563,20,22, 1.08 
2017020988,MIN,0.4688,18,8, 0.90 
2017020981,CGY,0.6027,11,5, 0.96 
2017020981,COL,0.3973,5,11, 1.04 
2017020979,BUF,0.5111,15,10, 0.99 
2017020980,DET,0.6436,24,11, 0.90 
