0,54.79,33,40,75,0,40,35,56.67,12,16,101.32,8,13,2,6,0
0,53.84,30,35,60,0,44,32,68.22,22,9,106.25,15,23,5,3,0
0,45.58,37,31,80,33.33,29,34,45.74,13,12,101.29,29,15,4,6,1
0,48.07,27,25,100,0,42,34,55.56,14,11,99.31,34,17,5,3,1
1,60.31,25,38,100,20,36,27,51,16,15,103.56,15,14,4,2,1
1,53.84,24,28,100,0,45,25,68.64,19,12,89.47,18,10,2,7,0
1,44.64,31,25,100,0,21,41,38.94,14,15,109.74,29,19,3,2,1
0,46.66,32,28,100,25,37,41,52.38,14,12,97.16,22,14,1,5,0
0,46.77,33,29,60,20,34,35,51.72,14,16,100.3,21,11,5,7,0
1,58.06,26,36,100,0,36,33,55.1,14,13,98.94,30,17,4,9,0
1,59.67,25,37,100,40,37,35,48.98,13,13,100,19,16,2,5,1
1,55.35,25,31,100,25,36,30,48.98,6,19,100.92,16,14,14,13,1
0,50,27,27,75,0,27,40,51.35,8,14,104.63,22,17,14,19,0
1,55.73,27,34,100,25,32,38,41,9,14,124.14,23,14,3,5,1
0,46.42,30,26,100,50,32,41,40.21,11,12,104.76,21,14,11,8,1
0,47.54,32,29,66.66,0,41,26,60.92,17,12,86.91,17,13,12,2,0
1,54.54,20,24,0,0,37,21,63.53,14,7,100,17,13,3,6,0
0,47.61,33,30,100,25,37,32,50,15,18,99.38,24,10,3,3,1
0,43.75,27,21,100,0,27,36,50,8,7,94.55,21,9,4,8,0
1,63.23,25,43,100,20,41,26,61.63,16,11,84.95,27,17,8,5,0
1,47.54,32,29,100,0,40,41,51,17,16,110.81,15,12,2,3,1
0,54,23,27,80,0,20,36,41.25,4,18,114.75,18,15,5,6,1
1,50,23,23,100,14.28,24,28,41.33,7,7,111.76,20,14,5,5,1
1,44.23,29,23,100,0,31,33,39.19,12,13,93.1,28,13,3,4,0
1,53.84,30,35,60,0,35,41,37.93,12,19,101.82,25,15,0,8,0
0,52.11,34,37,50,33.33,33,46,38.74,10,24,114.76,17,18,7,2,1
1,46.05,41,35,100,0,34,35,43.82,18,15,100.85,35,17,7,2,0
0,54.54,35,42,100,66.66,18,39,42.42,13,26,98.05,24,18,3,8,0
0,28.57,45,18,83.33,0,26,35,44.12,6,10,107,11,13,5,5,1
0,52.94,24,27,100,25,25,29,42.55,15,11,115,13,27,6,10,1
1,45.28,29,24,100,33.33,32,20,54.55,15,11,104.17,30,13,10,9,1
1,50,28,28,83.33,16.66,37,30,48.1,6,6,93.44,33,18,2,10,0
1,48.21,29,27,100,75,34,39,46.39,10,16,100.62,34,14,9,4,1
0,49.09,28,27,100,0,21,36,36.78,6,18,112.34,23,19,1,10,1
0,50,21,21,100,0,35,32,46.67,4,14,109.33,24,12,2,3,1
0,50,37,37,100,0,37,29,48.48,18,21,112,19,14,5,5,1
1,44.59,41,33,50,25,42,37,57.41,20,11,91.75,23,11,2,1,0
