gameID,tm,oppTm,wol,loc,ga,gf,fowP,foL,foW,pkPctg,ppPctg,sf,sa,satp,ozf,dzf,spsv,hit,bks,tka,gva
2017021193,FLA,OTT,0,0,3,2,46.29,29,25,100.0,50.0,26,30,46.07,13,18,97.14,24,14,3,9
2017021193,OTT,FLA,1,1,2,3,53.7,25,29,50.0,0.0,30,26,53.93,18,13,102.86,28,17,8,9
2017021196,WPG,CHI,0,0,6,2,64.28,20,36,100.0,0.0,34,42,50.0,16,20,91.45,45,14,4,9
2017021191,BUF,DET,0,1,6,3,53.52,33,38,100.0,25.0,32,32,47.22,21,16,82.75,16,13,5,10
2017021190,BOS,TBL,1,1,2,4,55.38,29,36,75.0,33.33,30,28,47.67,18,17,99.5,29,17,9,7
2017021190,TBL,BOS,0,0,4,2,44.61,36,29,66.66,25.0,28,30,52.33,17,18,100.5,38,13,5,13
2017021192,PIT,NJD,1,0,3,4,56.89,25,33,66.66,0.0,35,31,54.44,23,13,102.71,27,10,13,4
2017021194,SJS,NSH,0,0,5,3,56.33,31,40,100.0,0.0,42,32,54.22,14,14,95.24,12,10,7,12
2017021195,DAL,MIN,0,0,5,2,45.0,33,27,33.33,0.0,31,22,57.97,13,13,102.84,15,8,1,3
2017021191,DET,BUF,1,0,3,6,46.47,38,33,75.0,0.0,32,32,52.78,16,21,117.25,10,13,4,7
2017021198,VAN,EDM,1,1,1,2,39.21,31,20,100.0,0.0,30,36,43.01,14,17,103.69,22,13,5,4
2017021192,NJD,PIT,0,1,4,3,43.1,33,25,100.0,33.33,31,35,45.56,13,23,97.29,17,7,14,8
2017021197,CBJ,CGY,1,0,1,5,55.35,25,31,100.0,33.33,28,38,36.19,14,16,113.89,8,16,9,5
2017021194,NSH,SJS,1,1,3,5,43.66,40,31,100.0,0.0,32,42,45.78,14,14,104.76,14,25,10,24
2017021195,MIN,DAL,1,1,2,5,55.0,27,33,100.0,66.66,22,31,42.03,13,13,97.16,7,18,5,7
2017021197,CGY,CBJ,0,1,5,1,44.64,31,25,66.66,0.0,38,28,63.81,16,14,86.11,17,11,13,5
2017021198,EDM,VAN,0,0,2,1,60.78,20,31,100.0,0.0,36,30,56.99,17,14,96.31,16,6,6,8
2017021187,WSH,NYR,1,1,2,3,53.22,29,33,80.0,0.0,33,37,54.12,17,17,99.62,16,12,15,15
2017021187,NYR,WSH,0,0,3,2,46.77,33,29,100.0,20.0,37,33,45.88,17,17,100.38,21,15,12,14
2017021188,PHI,COL,1,0,1,2,61.53,15,24,100.0,0.0,33,28,45.3,8,11,103.34,15,33,6,4
2017021188,COL,PHI,0,1,2,1,38.46,24,15,100.0,0.0,28,33,54.7,11,8,96.66,22,15,9,5
2017021186,TOR,FLA,1,1,3,4,49.29,36,35,100.0,0.0,35,33,49.59,23,15,105.09,22,22,10,23
2017021186,FLA,TOR,0,0,4,3,50.7,35,36,100.0,0.0,33,35,50.41,15,23,94.91,24,18,5,8
2017021189,ARI,VGK,1,0,2,3,59.67,25,37,60.0,0.0,32,29,52.81,17,14,107.41,42,19,7,3
2017021189,VGK,ARI,0,1,3,2,40.32,37,25,100.0,40.0,29,32,47.19,14,17,92.59,40,16,9,11
2017021183,DAL,PHI,1,1,2,3,45.9,33,28,100.0,50.0,23,33,43.16,9,20,98.47,22,14,4,5
2017021178,NYI,OTT,1,0,3,4,54.38,26,31,75.0,50.0,31,36,43.24,12,16,104.4,36,23,5,9
2017021178,OTT,NYI,0,1,4,3,45.61,31,26,50.0,25.0,36,31,56.76,16,12,95.6,25,15,7,10
2017021179,DET,PIT,1,1,2,5,46.55,31,27,100.0,50.0,26,24,46.15,14,17,108.73,15,25,3,20
2017021179,PIT,DET,0,0,5,2,53.44,27,31,50.0,0.0,24,26,53.85,17,14,91.27,18,9,2,17
2017021183,PHI,DAL,0,0,3,2,54.09,28,33,50.0,0.0,33,23,56.84,20,9,101.53,12,15,5,6
2017021180,SJS,STL,0,0,3,2,53.44,27,31,0.0,50.0,24,32,44.33,18,19,100.65,12,19,9,5
2017021184,EDM,CBJ,0,1,7,3,46.77,33,29,100.0,33.33,25,27,42.53,14,9,73.18,34,20,14,23
2017021181,MIN,NSH,0,0,1,1,50.0,32,32,100.0,0.0,23,29,38.36,18,14,101.71,15,15,7,11
2017021181,NSH,MIN,1,1,1,1,50.0,32,32,100.0,0.0,29,23,61.64,14,18,98.29,18,11,8,10
2017021185,ANA,VAN,0,0,4,1,52.94,24,27,100.0,0.0,24,30,45.88,18,13,93.01,20,8,4,7
2017021180,STL,SJS,1,1,2,3,46.55,31,27,50.0,100.0,32,24,55.67,19,18,99.35,26,13,5,9
2017021182,WPG,BOS,1,1,4,4,50.81,30,31,40.0,0.0,32,32,48.19,18,11,107.24,23,17,16,14
2017021177,NJD,CAR,1,1,3,4,44.11,38,30,100.0,50.0,45,34,52.13,19,17,96.2,18,8,17,6
2017021177,CAR,NJD,0,0,4,3,55.88,30,38,50.0,0.0,34,45,47.87,17,19,103.8,11,6,6,2
2017021185,VAN,ANA,1,1,1,4,47.05,27,24,100.0,0.0,30,24,54.12,13,18,106.99,24,17,4,7
2017021182,BOS,WPG,0,0,4,4,49.18,31,30,100.0,60.0,32,32,51.81,11,18,92.76,24,11,5,16
2017021184,CBJ,EDM,1,0,3,7,53.22,29,33,66.66,0.0,27,25,57.47,9,14,126.82,23,12,9,9
2017021174,SJS,CHI,1,0,3,3,55.35,25,31,100.0,0.0,38,31,57.52,15,11,96.96,25,20,8,10
2017021172,MTL,DET,1,1,2,4,46.15,28,24,100.0,66.66,31,28,53.85,13,10,99.24,33,15,6,10
2017021170,WSH,NYR,1,0,2,4,50.94,26,27,100.0,33.33,33,30,41.38,14,13,100.33,16,15,6,6
